,TeamName,Year,Wins,Losses,OTLosses,Win%,GoalsFor(GF),GoalsAgainst(GA),+/-
0,BostonBruins,1990,44,24,,0.55,299,264,35
1,BuffaloSabres,1990,31,30,,0.388,292,278,14
2,CalgaryFlames,1990,46,26,,0.575,344,263,81
3,ChicagoBlackhawks,1990,49,23,,0.613,284,211,73
4,DetroitRedWings,1990,34,38,,0.425,273,298,-25
5,EdmontonOilers,1990,37,37,,0.463,272,272,0
6,HartfordWhalers,1990,31,38,,0.388,238,276,-38
7,LosAngelesKings,1990,46,24,,0.575,340,254,86
8,MinnesotaNorthStars,1990,27,39,,0.338,256,266,-10
9,MontrealCanadiens,1990,39,30,,0.487,273,249,24
10,NewJerseyDevils,1990,32,33,,0.4,272,264,8
11,NewYorkIslanders,1990,25,45,,0.312,223,290,-67
12,NewYorkRangers,1990,36,31,,0.45,297,265,32
13,PhiladelphiaFlyers,1990,33,37,,0.412,252,267,-15
14,PittsburghPenguins,1990,41,33,,0.512,342,305,37
15,QuebecNordiques,1990,16,50,,0.2,236,354,-118
16,St.LouisBlues,1990,47,22,,0.588,310,250,60
17,TorontoMapleLeafs,1990,23,46,,0.287,241,318,-77
18,VancouverCanucks,1990,28,43,,0.35,243,315,-72
19,WashingtonCapitals,1990,37,36,,0.463,258,258,0
20,WinnipegJets,1990,26,43,,0.325,260,288,-28
21,BostonBruins,1991,36,32,,0.45,270,275,-5
22,BuffaloSabres,1991,31,37,,0.388,289,299,-10
23,CalgaryFlames,1991,31,37,,0.388,296,305,-9
24,ChicagoBlackhawks,1991,36,29,,0.45,257,236,21
25,BostonBruins,1990,44,24,,0.55,299,264,35
26,BuffaloSabres,1990,31,30,,0.388,292,278,14
27,CalgaryFlames,1990,46,26,,0.575,344,263,81
28,ChicagoBlackhawks,1990,49,23,,0.613,284,211,73
29,DetroitRedWings,1990,34,38,,0.425,273,298,-25
30,EdmontonOilers,1990,37,37,,0.463,272,272,0
31,HartfordWhalers,1990,31,38,,0.388,238,276,-38
32,LosAngelesKings,1990,46,24,,0.575,340,254,86
33,MinnesotaNorthStars,1990,27,39,,0.338,256,266,-10
34,MontrealCanadiens,1990,39,30,,0.487,273,249,24
35,NewJerseyDevils,1990,32,33,,0.4,272,264,8
36,NewYorkIslanders,1990,25,45,,0.312,223,290,-67
37,NewYorkRangers,1990,36,31,,0.45,297,265,32
38,PhiladelphiaFlyers,1990,33,37,,0.412,252,267,-15
39,PittsburghPenguins,1990,41,33,,0.512,342,305,37
40,QuebecNordiques,1990,16,50,,0.2,236,354,-118
41,St.LouisBlues,1990,47,22,,0.588,310,250,60
42,TorontoMapleLeafs,1990,23,46,,0.287,241,318,-77
43,VancouverCanucks,1990,28,43,,0.35,243,315,-72
44,WashingtonCapitals,1990,37,36,,0.463,258,258,0
45,WinnipegJets,1990,26,43,,0.325,260,288,-28
46,BostonBruins,1991,36,32,,0.45,270,275,-5
47,BuffaloSabres,1991,31,37,,0.388,289,299,-10
48,CalgaryFlames,1991,31,37,,0.388,296,305,-9
49,ChicagoBlackhawks,1991,36,29,,0.45,257,236,21
50,BostonBruins,1990,44,24,,0.55,299,264,35
51,BuffaloSabres,1990,31,30,,0.388,292,278,14
52,CalgaryFlames,1990,46,26,,0.575,344,263,81
53,ChicagoBlackhawks,1990,49,23,,0.613,284,211,73
54,DetroitRedWings,1990,34,38,,0.425,273,298,-25
55,EdmontonOilers,1990,37,37,,0.463,272,272,0
56,HartfordWhalers,1990,31,38,,0.388,238,276,-38
57,LosAngelesKings,1990,46,24,,0.575,340,254,86
58,MinnesotaNorthStars,1990,27,39,,0.338,256,266,-10
59,MontrealCanadiens,1990,39,30,,0.487,273,249,24
60,NewJerseyDevils,1990,32,33,,0.4,272,264,8
61,NewYorkIslanders,1990,25,45,,0.312,223,290,-67
62,NewYorkRangers,1990,36,31,,0.45,297,265,32
63,PhiladelphiaFlyers,1990,33,37,,0.412,252,267,-15
64,PittsburghPenguins,1990,41,33,,0.512,342,305,37
65,QuebecNordiques,1990,16,50,,0.2,236,354,-118
66,St.LouisBlues,1990,47,22,,0.588,310,250,60
67,TorontoMapleLeafs,1990,23,46,,0.287,241,318,-77
68,VancouverCanucks,1990,28,43,,0.35,243,315,-72
69,WashingtonCapitals,1990,37,36,,0.463,258,258,0
70,WinnipegJets,1990,26,43,,0.325,260,288,-28
71,BostonBruins,1991,36,32,,0.45,270,275,-5
72,BuffaloSabres,1991,31,37,,0.388,289,299,-10
73,CalgaryFlames,1991,31,37,,0.388,296,305,-9
74,ChicagoBlackhawks,1991,36,29,,0.45,257,236,21
75,BostonBruins,1990,44,24,,0.55,299,264,35
76,BuffaloSabres,1990,31,30,,0.388,292,278,14
77,CalgaryFlames,1990,46,26,,0.575,344,263,81
78,ChicagoBlackhawks,1990,49,23,,0.613,284,211,73
79,DetroitRedWings,1990,34,38,,0.425,273,298,-25
80,EdmontonOilers,1990,37,37,,0.463,272,272,0
81,HartfordWhalers,1990,31,38,,0.388,238,276,-38
82,LosAngelesKings,1990,46,24,,0.575,340,254,86
83,MinnesotaNorthStars,1990,27,39,,0.338,256,266,-10
84,MontrealCanadiens,1990,39,30,,0.487,273,249,24
85,NewJerseyDevils,1990,32,33,,0.4,272,264,8
86,NewYorkIslanders,1990,25,45,,0.312,223,290,-67
87,NewYorkRangers,1990,36,31,,0.45,297,265,32
88,PhiladelphiaFlyers,1990,33,37,,0.412,252,267,-15
89,PittsburghPenguins,1990,41,33,,0.512,342,305,37
90,QuebecNordiques,1990,16,50,,0.2,236,354,-118
91,St.LouisBlues,1990,47,22,,0.588,310,250,60
92,TorontoMapleLeafs,1990,23,46,,0.287,241,318,-77
93,VancouverCanucks,1990,28,43,,0.35,243,315,-72
94,WashingtonCapitals,1990,37,36,,0.463,258,258,0
95,WinnipegJets,1990,26,43,,0.325,260,288,-28
96,BostonBruins,1991,36,32,,0.45,270,275,-5
97,BuffaloSabres,1991,31,37,,0.388,289,299,-10
98,CalgaryFlames,1991,31,37,,0.388,296,305,-9
99,ChicagoBlackhawks,1991,36,29,,0.45,257,236,21
100,BostonBruins,1990,44,24,,0.55,299,264,35
101,BuffaloSabres,1990,31,30,,0.388,292,278,14
102,CalgaryFlames,1990,46,26,,0.575,344,263,81
103,ChicagoBlackhawks,1990,49,23,,0.613,284,211,73
104,DetroitRedWings,1990,34,38,,0.425,273,298,-25
105,EdmontonOilers,1990,37,37,,0.463,272,272,0
106,HartfordWhalers,1990,31,38,,0.388,238,276,-38
107,LosAngelesKings,1990,46,24,,0.575,340,254,86
108,MinnesotaNorthStars,1990,27,39,,0.338,256,266,-10
109,MontrealCanadiens,1990,39,30,,0.487,273,249,24
110,NewJerseyDevils,1990,32,33,,0.4,272,264,8
111,NewYorkIslanders,1990,25,45,,0.312,223,290,-67
112,NewYorkRangers,1990,36,31,,0.45,297,265,32
113,PhiladelphiaFlyers,1990,33,37,,0.412,252,267,-15
114,PittsburghPenguins,1990,41,33,,0.512,342,305,37
115,QuebecNordiques,1990,16,50,,0.2,236,354,-118
116,St.LouisBlues,1990,47,22,,0.588,310,250,60
117,TorontoMapleLeafs,1990,23,46,,0.287,241,318,-77
118,VancouverCanucks,1990,28,43,,0.35,243,315,-72
119,WashingtonCapitals,1990,37,36,,0.463,258,258,0
120,WinnipegJets,1990,26,43,,0.325,260,288,-28
121,BostonBruins,1991,36,32,,0.45,270,275,-5
122,BuffaloSabres,1991,31,37,,0.388,289,299,-10
123,CalgaryFlames,1991,31,37,,0.388,296,305,-9
124,ChicagoBlackhawks,1991,36,29,,0.45,257,236,21
125,BostonBruins,1990,44,24,,0.55,299,264,35
126,BuffaloSabres,1990,31,30,,0.388,292,278,14
127,CalgaryFlames,1990,46,26,,0.575,344,263,81
128,ChicagoBlackhawks,1990,49,23,,0.613,284,211,73
129,DetroitRedWings,1990,34,38,,0.425,273,298,-25
130,EdmontonOilers,1990,37,37,,0.463,272,272,0
131,HartfordWhalers,1990,31,38,,0.388,238,276,-38
132,LosAngelesKings,1990,46,24,,0.575,340,254,86
133,MinnesotaNorthStars,1990,27,39,,0.338,256,266,-10
134,MontrealCanadiens,1990,39,30,,0.487,273,249,24
135,NewJerseyDevils,1990,32,33,,0.4,272,264,8
136,NewYorkIslanders,1990,25,45,,0.312,223,290,-67
137,NewYorkRangers,1990,36,31,,0.45,297,265,32
138,PhiladelphiaFlyers,1990,33,37,,0.412,252,267,-15
139,PittsburghPenguins,1990,41,33,,0.512,342,305,37
140,QuebecNordiques,1990,16,50,,0.2,236,354,-118
141,St.LouisBlues,1990,47,22,,0.588,310,250,60
142,TorontoMapleLeafs,1990,23,46,,0.287,241,318,-77
143,VancouverCanucks,1990,28,43,,0.35,243,315,-72
144,WashingtonCapitals,1990,37,36,,0.463,258,258,0
145,WinnipegJets,1990,26,43,,0.325,260,288,-28
146,BostonBruins,1991,36,32,,0.45,270,275,-5
147,BuffaloSabres,1991,31,37,,0.388,289,299,-10
148,CalgaryFlames,1991,31,37,,0.388,296,305,-9
149,ChicagoBlackhawks,1991,36,29,,0.45,257,236,21
150,BostonBruins,1990,44,24,,0.55,299,264,35
151,BuffaloSabres,1990,31,30,,0.388,292,278,14
152,CalgaryFlames,1990,46,26,,0.575,344,263,81
153,ChicagoBlackhawks,1990,49,23,,0.613,284,211,73
154,DetroitRedWings,1990,34,38,,0.425,273,298,-25
155,EdmontonOilers,1990,37,37,,0.463,272,272,0
156,HartfordWhalers,1990,31,38,,0.388,238,276,-38
157,LosAngelesKings,1990,46,24,,0.575,340,254,86
158,MinnesotaNorthStars,1990,27,39,,0.338,256,266,-10
159,MontrealCanadiens,1990,39,30,,0.487,273,249,24
160,NewJerseyDevils,1990,32,33,,0.4,272,264,8
161,NewYorkIslanders,1990,25,45,,0.312,223,290,-67
162,NewYorkRangers,1990,36,31,,0.45,297,265,32
163,PhiladelphiaFlyers,1990,33,37,,0.412,252,267,-15
164,PittsburghPenguins,1990,41,33,,0.512,342,305,37
165,QuebecNordiques,1990,16,50,,0.2,236,354,-118
166,St.LouisBlues,1990,47,22,,0.588,310,250,60
167,TorontoMapleLeafs,1990,23,46,,0.287,241,318,-77
168,VancouverCanucks,1990,28,43,,0.35,243,315,-72
169,WashingtonCapitals,1990,37,36,,0.463,258,258,0
170,WinnipegJets,1990,26,43,,0.325,260,288,-28
171,BostonBruins,1991,36,32,,0.45,270,275,-5
172,BuffaloSabres,1991,31,37,,0.388,289,299,-10
173,CalgaryFlames,1991,31,37,,0.388,296,305,-9
174,ChicagoBlackhawks,1991,36,29,,0.45,257,236,21
175,BostonBruins,1990,44,24,,0.55,299,264,35
176,BuffaloSabres,1990,31,30,,0.388,292,278,14
177,CalgaryFlames,1990,46,26,,0.575,344,263,81
178,ChicagoBlackhawks,1990,49,23,,0.613,284,211,73
179,DetroitRedWings,1990,34,38,,0.425,273,298,-25
180,EdmontonOilers,1990,37,37,,0.463,272,272,0
181,HartfordWhalers,1990,31,38,,0.388,238,276,-38
182,LosAngelesKings,1990,46,24,,0.575,340,254,86
183,MinnesotaNorthStars,1990,27,39,,0.338,256,266,-10
184,MontrealCanadiens,1990,39,30,,0.487,273,249,24
185,NewJerseyDevils,1990,32,33,,0.4,272,264,8
186,NewYorkIslanders,1990,25,45,,0.312,223,290,-67
187,NewYorkRangers,1990,36,31,,0.45,297,265,32
188,PhiladelphiaFlyers,1990,33,37,,0.412,252,267,-15
189,PittsburghPenguins,1990,41,33,,0.512,342,305,37
190,QuebecNordiques,1990,16,50,,0.2,236,354,-118
191,St.LouisBlues,1990,47,22,,0.588,310,250,60
192,TorontoMapleLeafs,1990,23,46,,0.287,241,318,-77
193,VancouverCanucks,1990,28,43,,0.35,243,315,-72
194,WashingtonCapitals,1990,37,36,,0.463,258,258,0
195,WinnipegJets,1990,26,43,,0.325,260,288,-28
196,BostonBruins,1991,36,32,,0.45,270,275,-5
197,BuffaloSabres,1991,31,37,,0.388,289,299,-10
198,CalgaryFlames,1991,31,37,,0.388,296,305,-9
199,ChicagoBlackhawks,1991,36,29,,0.45,257,236,21
200,BostonBruins,1990,44,24,,0.55,299,264,35
201,BuffaloSabres,1990,31,30,,0.388,292,278,14
202,CalgaryFlames,1990,46,26,,0.575,344,263,81
203,ChicagoBlackhawks,1990,49,23,,0.613,284,211,73
204,DetroitRedWings,1990,34,38,,0.425,273,298,-25
205,EdmontonOilers,1990,37,37,,0.463,272,272,0
206,HartfordWhalers,1990,31,38,,0.388,238,276,-38
207,LosAngelesKings,1990,46,24,,0.575,340,254,86
208,MinnesotaNorthStars,1990,27,39,,0.338,256,266,-10
209,MontrealCanadiens,1990,39,30,,0.487,273,249,24
210,NewJerseyDevils,1990,32,33,,0.4,272,264,8
211,NewYorkIslanders,1990,25,45,,0.312,223,290,-67
212,NewYorkRangers,1990,36,31,,0.45,297,265,32
213,PhiladelphiaFlyers,1990,33,37,,0.412,252,267,-15
214,PittsburghPenguins,1990,41,33,,0.512,342,305,37
215,QuebecNordiques,1990,16,50,,0.2,236,354,-118
216,St.LouisBlues,1990,47,22,,0.588,310,250,60
217,TorontoMapleLeafs,1990,23,46,,0.287,241,318,-77
218,VancouverCanucks,1990,28,43,,0.35,243,315,-72
219,WashingtonCapitals,1990,37,36,,0.463,258,258,0
220,WinnipegJets,1990,26,43,,0.325,260,288,-28
221,BostonBruins,1991,36,32,,0.45,270,275,-5
222,BuffaloSabres,1991,31,37,,0.388,289,299,-10
223,CalgaryFlames,1991,31,37,,0.388,296,305,-9
224,ChicagoBlackhawks,1991,36,29,,0.45,257,236,21
225,BostonBruins,1990,44,24,,0.55,299,264,35
226,BuffaloSabres,1990,31,30,,0.388,292,278,14
227,CalgaryFlames,1990,46,26,,0.575,344,263,81
228,ChicagoBlackhawks,1990,49,23,,0.613,284,211,73
229,DetroitRedWings,1990,34,38,,0.425,273,298,-25
230,EdmontonOilers,1990,37,37,,0.463,272,272,0
231,HartfordWhalers,1990,31,38,,0.388,238,276,-38
232,LosAngelesKings,1990,46,24,,0.575,340,254,86
233,MinnesotaNorthStars,1990,27,39,,0.338,256,266,-10
234,MontrealCanadiens,1990,39,30,,0.487,273,249,24
235,NewJerseyDevils,1990,32,33,,0.4,272,264,8
236,NewYorkIslanders,1990,25,45,,0.312,223,290,-67
237,NewYorkRangers,1990,36,31,,0.45,297,265,32
238,PhiladelphiaFlyers,1990,33,37,,0.412,252,267,-15
239,PittsburghPenguins,1990,41,33,,0.512,342,305,37
240,QuebecNordiques,1990,16,50,,0.2,236,354,-118
241,St.LouisBlues,1990,47,22,,0.588,310,250,60
242,TorontoMapleLeafs,1990,23,46,,0.287,241,318,-77
243,VancouverCanucks,1990,28,43,,0.35,243,315,-72
244,WashingtonCapitals,1990,37,36,,0.463,258,258,0
245,WinnipegJets,1990,26,43,,0.325,260,288,-28
246,BostonBruins,1991,36,32,,0.45,270,275,-5
247,BuffaloSabres,1991,31,37,,0.388,289,299,-10
248,CalgaryFlames,1991,31,37,,0.388,296,305,-9
249,ChicagoBlackhawks,1991,36,29,,0.45,257,236,21
250,BostonBruins,1990,44,24,,0.55,299,264,35
251,BuffaloSabres,1990,31,30,,0.388,292,278,14
252,CalgaryFlames,1990,46,26,,0.575,344,263,81
253,ChicagoBlackhawks,1990,49,23,,0.613,284,211,73
254,DetroitRedWings,1990,34,38,,0.425,273,298,-25
255,EdmontonOilers,1990,37,37,,0.463,272,272,0
256,HartfordWhalers,1990,31,38,,0.388,238,276,-38
257,LosAngelesKings,1990,46,24,,0.575,340,254,86
258,MinnesotaNorthStars,1990,27,39,,0.338,256,266,-10
259,MontrealCanadiens,1990,39,30,,0.487,273,249,24
260,NewJerseyDevils,1990,32,33,,0.4,272,264,8
261,NewYorkIslanders,1990,25,45,,0.312,223,290,-67
262,NewYorkRangers,1990,36,31,,0.45,297,265,32
263,PhiladelphiaFlyers,1990,33,37,,0.412,252,267,-15
264,PittsburghPenguins,1990,41,33,,0.512,342,305,37
265,QuebecNordiques,1990,16,50,,0.2,236,354,-118
266,St.LouisBlues,1990,47,22,,0.588,310,250,60
267,TorontoMapleLeafs,1990,23,46,,0.287,241,318,-77
268,VancouverCanucks,1990,28,43,,0.35,243,315,-72
269,WashingtonCapitals,1990,37,36,,0.463,258,258,0
270,WinnipegJets,1990,26,43,,0.325,260,288,-28
271,BostonBruins,1991,36,32,,0.45,270,275,-5
272,BuffaloSabres,1991,31,37,,0.388,289,299,-10
273,CalgaryFlames,1991,31,37,,0.388,296,305,-9
274,ChicagoBlackhawks,1991,36,29,,0.45,257,236,21
275,BostonBruins,1990,44,24,,0.55,299,264,35
276,BuffaloSabres,1990,31,30,,0.388,292,278,14
277,CalgaryFlames,1990,46,26,,0.575,344,263,81
278,ChicagoBlackhawks,1990,49,23,,0.613,284,211,73
279,DetroitRedWings,1990,34,38,,0.425,273,298,-25
280,EdmontonOilers,1990,37,37,,0.463,272,272,0
281,HartfordWhalers,1990,31,38,,0.388,238,276,-38
282,LosAngelesKings,1990,46,24,,0.575,340,254,86
283,MinnesotaNorthStars,1990,27,39,,0.338,256,266,-10
284,MontrealCanadiens,1990,39,30,,0.487,273,249,24
285,NewJerseyDevils,1990,32,33,,0.4,272,264,8
286,NewYorkIslanders,1990,25,45,,0.312,223,290,-67
287,NewYorkRangers,1990,36,31,,0.45,297,265,32
288,PhiladelphiaFlyers,1990,33,37,,0.412,252,267,-15
289,PittsburghPenguins,1990,41,33,,0.512,342,305,37
290,QuebecNordiques,1990,16,50,,0.2,236,354,-118
291,St.LouisBlues,1990,47,22,,0.588,310,250,60
292,TorontoMapleLeafs,1990,23,46,,0.287,241,318,-77
293,VancouverCanucks,1990,28,43,,0.35,243,315,-72
294,WashingtonCapitals,1990,37,36,,0.463,258,258,0
295,WinnipegJets,1990,26,43,,0.325,260,288,-28
296,BostonBruins,1991,36,32,,0.45,270,275,-5
297,BuffaloSabres,1991,31,37,,0.388,289,299,-10
298,CalgaryFlames,1991,31,37,,0.388,296,305,-9
299,ChicagoBlackhawks,1991,36,29,,0.45,257,236,21
